,index,merchant_id,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,date,sales,merchant_name
254,254,58b92804935861529969e778,3,6010,2003.0,4.254,6357.0,5.97,5.33,-11.0,-10.67,197.0,2.0,67.0,2021-08-20,9149,usamall
255,255,5d464f4a56a26046dd1bb8a4,2,6000,3000.0,3.777,779.0,12.0,11.0,-9.0,-9.0,491.0,,,2020-02-25,1772,hwalee
256,256,5d49403060c79c113a908720,2,6000,3000.0,3.871,3460.0,7.5,6.5,-15.0,-15.0,743.0,,,2021-03-11,3604,kallyett
257,257,583e34bb0299bc7904a92edf,2,6000,3000.0,4.152,5819.0,9.0,8.0,-12.0,-12.0,481.0,,,2021-02-02,2548,leescloset
258,258,5860cf7b0929fc4d76180aed,2,6000,3000.0,4.194,124563.0,10.0,9.0,-11.0,-11.0,484.0,,,2020-08-26,7032,girlsshowtime
259,259,5788a55ba78e3f2dce4126ff,2,6000,3000.0,4.223,13884.0,3.5,3.5,0.0,0.0,858.0,,,2020-06-03,6925,allofme
260,260,58d0c52c19bf8b6b34178db0,2,6000,3000.0,4.268,30225.0,9.5,61.0,82.0,81.5,985.0,1.0,50.0,2021-03-16,2913,886806blw
261,261,5268759b736046671957190c,5,5400,1080.0,3.838,91631.0,2.31,10.0,75.0,75.2,187.0,2.0,40.0,2021-10-11,3733,maryswill
262,262,55f7c64b3a698c4749f3bccf,4,5250,1313.0,4.074,14676.0,7.75,13.5,12.0,11.5,308.0,1.0,25.0,2021-10-18,2858,adreaboutique
263,263,566a47bfe9fa8a31b3ef5141,5,5250,1050.0,4.002,25222.0,6.8,32.4,68.0,68.0,279.0,2.0,40.0,2021-07-18,8785,owiner
264,264,54d83b6b6b8a771e478558de,3,5200,1733.0,3.696,4435.0,3.0,46.67,92.0,92.33,529.0,1.0,33.0,2020-02-19,4092,sellbestqualitygoods
265,265,53f6b7c81c105e2dfac91041,3,5200,1733.0,4.301,225438.0,8.67,8.0,-7.0,-6.67,366.0,1.0,33.0,2021-09-02,4235,charming_family
